State,2014 Per Person,2014 Total,2013 Per Person,2013 Total,2012 Per Person,2012 Total,2011 Per Person,2011 Total,2010 Per Person,2010 Total,2009 Per Person,2009 Total,2008 Per Person,2008 Total,2007 Per Person,2007 Total,2006 Per Person,2006 Total,2005 Per Person,2005 Total,2004 Per Person,2004 Total,2003 Per Person,2003 Total,2002 Per Person,2002 Total
Alabama,3884,18838158000,3882,18768877805,3236,15593550000,3055,14672122000,2795,13380248162,2941,13995131239,3849,18164126000,4284,20020477000,3942,18251825000,3644,16656491000,3315,15020939739,3139,14137345000,3422,15333436370
Alaska,6282,4628495000,6072,4476971270,5590,4087412000,5509,3980761000,5331,3805718347,5730,4005213899,5735,3943116000,5450,3708216000,5187,3503103315,4439,2960838000,4147,2734648269,4243,2751646461,4356,2798177300
American Samoa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,5112,34412907000,4656,30896420080,4356,28560225000,3990,25831953000,3673,23553306175,3914,24829239500,4508,28313176000,4969,30650480000,4720,28461496864,4320,25227937000,3777,21351690890,3440,18960594040,3857,20815400340
Arkansas,9373,27806337000,8779,25975438553,7584,22367848000,7578,22268246000,8590,25102756705,7853,22751042940,8657,24886762000,8785,25028185000,9085,25636532628,7919,22024763000,6792,18677991860,6550,17848827010,6617,17907818480
California,8429,327080561000,7595,291918109920,6585,250669240000,6211,234174324000,5963,222665184660,5783,213773284700,7358,269365365000,7716,279709392000,7431,267678184140,6572,235496724000,5812,206761717600,5428,191383566300,5703,198899195400
Colorado,8635,46252426000,7781,41023407462,6862,35627683000,6696,34283783000,6426,32443524112,6423,31939895009,8570,41905835000,8584,41237738000,8179,38612236181,7356,34075219000,6735,30813433840,6528,29566423729,7126,32001717560
Connecticut,14553,52342861000,13545,48755751310,11314,40669268000,10843,38933780000,10659,38153108513,9345,33288015130,13278,47079819000,14240,50229869000,13189,46393392464,11982,42020861000,10768,37648553810,9623,33531270580,9719,33618971729
Delaware,16875,15788605000,19541,18080132123,19573,17946741000,21145,19196572000,13862,12472100166,12804,11418386130,22593,19969775000,17833,15546181000,17785,15282156252,13940,11781674000,11802,9805486270,10854,8878789550,13475,10863502400
District of Columbia,38827,25583118000,36291,23557125039,31358,19913705000,28164,17473923000,27589,16697502142,31233,18497405610,31062,18023659000,32568,18707334000,29494,16832033093,30921,17536482000,28727,16310078629,32515,18485061870,24840,14237347990
Federated States of Micronesia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Florida,6637,132040064000,6085,119285443390,5083,98384621000,4726,90311268000,4421,83355187640,4545,84780636800,5802,107507771000,6432,118152981000,6327,114945175920,5606,100031231000,4548,79217804940,4474,76090663080,4809,80274206790
Georgia,6821,68881676000,6371,63684649320,5391,53475595000,4874,47833532000,4773,46369042540,4855,46716960610,5835,55467547000,7119,66567130000,7267,66541383706,6432,57412977000,5830,51126472220,5537,47745514790,6077,51705423080
Guam,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hawaii,4417,6270726000,4020,5664945340,3646,5078155000,3285,4528119000,3503,4778809008,3940,5307398012,5168,6885785000,4985,6558877000,4686,6138429266,4388,5672676000,5882,7491898986,3440,4304965587,3790,4698858703
Idaho,4805,7854302000,4522,7294729858,3907,6234822000,3026,4792874000,2728,4285634894,3287,5110726012,4519,6933852000,5314,7998551000,4990,7329466612,4841,6914157000,3997,5564355242,4148,5655558119,4469,5990637400
Illinois,10184,131180482000,9299,119871699690,8363,107664032000,7754,99707932000,7034,90323181750,7416,94911370000,9084,115803631000,9469,120218909000,9150,115692359170,8367,105519420000,7529,94796363200,7233,90824102300,7798,97679789900
Indiana,7235,47729590000,6620,43502686321,6753,44150853000,5546,36144992000,5355,34755823524,5323,34386535410,5386,34606261000,5777,36858956000,5457,34559896392,5167,32443190000,4287,26723293380,4477,27742892550,4679,28806591330
Iowa,6193,19242696000,5789,17903531993,5128,15775946000,4697,14398572000,4459,13603145588,4517,13699748500,5348,16134978000,5209,15623651000,5044,15045153466,5066,15019153000,4108,12134717020,4024,11838726240,4230,12414108460
Kansas,7892,22920212000,7545,21849415253,6598,19042614000,5723,16425719000,5330,15240964526,6053,17148037300,6697,18807217000,7170,19960070000,6568,18149465880,6124,16814448000,5046,13798381680,4920,13397908480,5296,14370964930
Kentucky,5850,25820493000,5313,23377095479,4712,20655697000,4531,19804996000,4299,18701221841,4407,19026555930,4639,19902455000,4649,19792248000,4406,18592594095,3843,16074368000,3506,14539230480,3390,13958166489,3536,14464552800
Louisiana,8162,37955128000,7569,35040627444,6411,29523274000,6619,30292545000,6330,28777770209,6602,29656868600,6688,29669073000,6712,29371613000,5398,23227045433,4786,21906582000,3637,16557535219,3572,16153342480,4236,19050617540
Maine,4193,5577564000,4151,5515748119,3677,4885293000,3563,4731731000,3294,4372803666,3380,4494657671,3937,5238332000,3959,5253771000,4056,5369850754,3622,4776840000,3462,4548503772,3254,4251997738,3449,4470375590
Marshall Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Maryland,8827,52755187000,8219,48811262516,6933,40849532000,7071,41324381000,6814,39443768286,6327,36258767280,8134,46245626000,8510,48112028000,8180,46034441494,7483,41849237000,6289,34889887230,5678,31208846030,6326,34417884280
Massachusetts,13660,92142789000,12314,82619303188,10690,71152920000,10298,68093512000,9182,60276911920,9303,60633988970,11183,72343155000,10623,68324175000,9893,63415860619,9117,58384466000,8221,52719551490,7619,48935007590,8315,53361721470
Michigan,6180,61247423000,5911,58509979760,4898,48417211000,4450,43952237000,3932,38836665720,4425,43818571070,5147,51202161000,5981,59818156000,6050,60725117967,5679,57090430000,5199,52281468920,5189,52109033380,5124,51322886860
Minnesota,16348,89218052000,15608,84630813758,13405,72127592000,12309,65833019000,10956,58185680517,11269,59516618099,14078,73870773000,14230,74103140000,12925,66743813642,12127,62088934000,10480,53319977790,10588,53511696650,10737,53891862560
Mississippi,2629,7873623000,2438,7295579972,2386,7125802000,1949,5807057000,1933,5744021893,2163,6402455332,3121,9202009000,2817,8250289000,2544,7391964301,2284,6638955000,2368,6843131552,2365,6784279077,2468,7055649013
Missouri,9136,55400779000,7963,48139133649,6965,41970491000,6581,39558335000,6427,38539336143,6157,36706225060,6830,40461786000,7379,43445202000,6816,39825233419,6067,35133619000,5804,33360891320,5774,32967740310,6382,36216965970
Montana,4368,4471538000,4095,4156349648,3502,3520984000,3300,3292356000,3028,3000409731,3316,3263628640,3782,3693596000,4023,3881671000,3671,3498008312,3212,3020111000,2737,2545881276,2698,2482049666,2796,2549682776
Nebraska,11699,22013141000,11632,21740756470,9654,17914585000,7285,13421325000,8061,14751754019,7888,14298543680,10699,19219784000,9853,17573459000,9012,15976269684,8393,14785249000,7361,12877744710,7151,12434472380,6540,11304257750
Nevada,4766,13533318000,4599,12840653428,3842,10585671000,3245,8822948000,3068,8296923638,3495,9384670400,5164,13703959000,6538,17008242000,6673,16835474872,6004,14604591000,4814,11294822330,4991,11224402190,4740,10305396710
New Hampshire,7234,9598993000,6485,8577430210,5539,7319106000,5450,7184507000,4999,6582342091,5420,7133293641,6778,8919211000,6202,8141288000,6072,7945157357,5411,7026830000,4643,5990554601,4837,6191526609,4820,6117572111
New Jersey,13698,122439525000,12861,114612770830,11167,99119264000,10952,96846869000,11568,101844045740,9754,85410502200,12497,108864005000,12797,111052391000,11395,98701973724,10612,91820690000,9414,81292204350,8498,73102093360,9540,81596780900
New Mexico,3269,6818248000,3100,6470376043,2825,5890976000,2860,5945841000,2540,5246747151,3051,6215565257,3782,7604903000,3455,6876485000,3136,6154243360,2745,5305332000,2496,4752856352,2589,4862140990,3228,5990595897
New York,11363,224391477000,10373,204313956120,8807,172686919000,8776,171340768000,8480,164538014510,8204,158396630500,10198,195938065000,11666,223204982000,10109,193139548720,9344,178779540000,7824,150012012200,7609,145925838400,8457,161853674800
North Carolina,6340,63047221000,5748,56618536849,5286,51533458000,4681,45184257000,3946,37722393739,5172,48875296240,6663,62031029000,7371,67209104000,6994,62372536244,6174,53752511000,5425,46409084940,4842,40788456120,4976,41438466920
North Dakota,9258,6846554000,9510,6884519873,7074,4963914000,6070,4159590000,5255,3544031613,5218,3470260925,5255,3456099000,4885,3189665000,4504,2925001386,3904,2522577000,3726,2402502106,3578,2285966273,3638,2322225098
Northern Mariana Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,10163,117836857000,9691,112149410199,8486,98031129000,8489,98008669000,7885,91004634000,7578,87371001900,8331,95943621000,8293,95376796000,6970,80035456910,7595,87072114000,6448,73853617480,6180,70676371680,6347,72414328040
Oklahoma,7313,28361785000,6675,25719602798,5932,22643017000,5298,20062452000,4869,18305560358,5360,19928538060,7095,26034170000,7268,26417980000,7967,28636560197,7282,25843580000,5060,17838104470,4763,16695073360,4426,15442757719
Oregon,6319,25091369000,5664,22249500498,4910,19144473000,4789,18523174000,4308,16532257083,4678,17819761450,5844,22027904000,5583,20783309000,5645,20724307097,4813,17393176000,4271,15246177800,4201,14904205700,4565,16039917129
Palau,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Pennsylvania,8700,111258103000,8262,105601151500,7376,94194904000,6803,86707540000,6533,83054127260,7147,90541027000,7900,99638538000,8040,101026447000,7314,91510075820,6781,84426256000,6149,76325653070,5625,69607662870,6073,74892731240
Puerto Rico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rhode Island,12091,12759053000,11253,11853466806,8996,9470331000,8506,8948772000,8376,8820655838,8938,9418330290,9717,10251707000,10325,10917016000,8888,9448866673,8085,8634623000,6901,7416267441,6831,7318680605,6464,6891205100
South Carolina,3693,17850530000,3346,15971007159,2983,14090130000,2715,12688293000,2562,11878949676,2796,12835255190,3381,15313414000,3838,17060358000,6394,27866071203,3221,13754897000,2918,12290727060,2893,12009927380,2991,12290493180
South Dakota,6909,5894902000,6459,5461984476,5152,4299728000,4400,3626777000,4086,3335402950,4937,3984518875,4920,3931819000,5236,4145136000,4892,3831058111,4262,3305571000,3546,2732425651,3631,2773661543,4077,3098628035
Tennessee,7612,49860190000,7191,46724394614,6030,38929164000,5655,36186790000,5615,35694144766,5460,34433289880,6540,40861970000,6848,42291441000,6866,41807762023,6168,36956601000,5396,31895233770,5152,30133101049,5032,29168219979
Texas,8591,231608227000,8104,214823081330,7127,185995191000,6331,162453401000,5850,147711183040,6592,163498858800,8313,202088258000,8456,201529051000,7870,183856943800,6385,145444472000,5834,130656866300,5355,117986847000,5894,127851643400
U.S. Minor Outlying Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Utah,5243,15431442000,5063,14697272483,4426,12637917000,4078,11481198000,3510,9738866885,4132,11254214330,5239,13953000000,5049,13117707000,4552,11496839452,4044,9940460000,3340,8021406786,3228,7620590369,3283,7632938199
Vermont,5927,3714119000,5376,3370246809,4557,2853497000,4262,2670493000,3996,2501045773,4262,2663430410,4750,2964740000,5318,3315713000,5017,3125550968,4576,2843004000,4187,2595667120,4077,2519624271,4176,2570455502
Virginia,7935,66076202000,7520,62198852711,6676,54704337000,6107,49531329000,5685,45626193860,6061,48040634120,7186,56292447000,7049,54644455000,7137,54767941073,6314,47846338000,5439,40662356110,5516,40641973080,5935,43251595400
Virgin Islands,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Washington,8568,60510115000,7544,52612957146,6520,44968780000,5699,38885116000,5716,38540249797,5984,39901555580,8459,55511239000,7977,51545872000,7983,50858938371,6543,40947070000,5883,36349298820,5969,36437820940,5571,33718404390
West Virginia,2778,5140513000,2721,5045339540,2534,4704603000,2480,4601239000,2218,4113423925,2513,4644124222,2626,4833527000,2834,5199337000,2693,4924218152,2324,4231615000,2216,4025633209,2021,3663114201,2115,3819356353
Wisconsin,7635,43962802000,7058,40537811461,6209,35550081000,5624,32106763000,5280,30039804392,5641,31981430460,6836,38563982000,6979,39159175000,6673,37221300215,6081,33729957000,5479,30213105060,5386,29512109850,5596,30472734590
Wyoming,7302,4265556000,7945,4633924344,5477,3160169000,4952,2811349000,5292,2986824398,5430,3040300867,8081,4412783000,7987,4272072000,6790,3549250930,5200,2673822000,4981,2536271060,4440,2235438761,4717,2358685093
